symbol,organ_name,icb_name,exchange
ABS,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,Nguyên vật liệu,HOSE
HII,Công ty Cổ phần An Tiến Industries,Nguyên vật liệu,HOSE
AFX,Công ty Cổ phần Xuất Nhập khẩu Nông sản Thực phẩm An Giang,Dịch vụ Tiêu dùng,UPCOM
AGR,Công ty Cổ phần Chứng khoán AGRIBANK,Tài chính,HOSE
ALT,Công ty Cổ phần Văn hóa Tân Bình,Dịch vụ Tiêu dùng,HNX
APC,Công ty Cổ phần Chiếu xạ An Phú,Dược phẩm và Y tế,UPCOM
APH,Công ty Cổ phần Tập đoàn An Phát Holdings,Công nghiệp,HOSE
APP,Công ty Cổ phần Phát triển Phụ gia và Sản phẩm dầu mỏ,Nguyên vật liệu,UPCOM
ASG,Công ty Cổ phần Tập đoàn ASG,Công nghiệp,HOSE
ARM,Công ty Cổ phần Xuất nhập khẩu Hàng không,Công nghiệp,HNX
ATS,Công ty Cổ phần Tập đoàn Đầu tư ATS,Dịch vụ Tiêu dùng,HNX
AVF,Công ty Cổ phần Việt An,Hàng Tiêu dùng,UPCOM
BCR,Công ty Cổ phần BCG Land,Công nghiệp,UPCOM
ASM,Công ty Cổ phần Tập đoàn Sao Mai,Hàng Tiêu dùng,HOSE
BED,Công ty Cổ phần Sách và Thiết bị trường học Đà Nẵng,Dịch vụ Tiêu dùng,HNX
BHN,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,Hàng Tiêu dùng,HOSE
BHP,Công ty Cổ phần Bia Hà Nội - Hải Phòng,Hàng Tiêu dùng,UPCOM
BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,HOSE
BHG,Công ty Cổ phần Chè Biển Hồ,Hàng Tiêu dùng,UPCOM
BTV,Công ty Cổ phần Dịch vụ Du lịch Bến Thành,Dịch vụ Tiêu dùng,UPCOM
BAF,Công ty Cổ phần Nông nghiệp BAF Việt Nam,Hàng Tiêu dùng,HOSE
CPA,Công ty Cổ phần Cà phê Phước An,Hàng Tiêu dùng,UPCOM
BMG,Công ty Cổ phần May Bình Minh,Hàng Tiêu dùng,UPCOM
C22,Công ty Cổ phần 22,Hàng Tiêu dùng,UPCOM
ASA,Công ty Cổ phần ASA,Hàng Tiêu dùng,UPCOM
TS3,Công ty Cổ phần Trường Sơn 532,Công nghiệp,UPCOM
BBH,Công ty Cổ phần Bao bì Hoàng Thạch,Công nghiệp,UPCOM
CAP,Công ty Cổ phần Lâm Nông sản Thực phẩm Yên Bái,Nguyên vật liệu,HNX
BSP,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,Hàng Tiêu dùng,UPCOM
A32,Công ty Cổ phần 32,Hàng Tiêu dùng,UPCOM
CEN,Công ty Cổ phần CENCON Việt Nam,Dịch vụ Tiêu dùng,UPCOM
CDO,Công ty Cổ phần Tư vấn Thiết kế và Phát triển Đô thị,Công nghiệp,UPCOM
AG1,Công ty Cổ phần 28.1,Hàng Tiêu dùng,UPCOM
BVN,Công ty Cổ phần Bông Việt Nam,Hàng Tiêu dùng,UPCOM
BCC,Công ty Cổ phần Xi măng Bỉm Sơn,Công nghiệp,HNX
BTD,Công ty Cổ phần Bê tông ly tâm Thủ Đức,Công nghiệp,UPCOM
CMW,Công ty Cổ phần Cấp nước Cà Mau,Tiện ích Cộng đồng,UPCOM
BDG,Công ty Cổ phần May mặc Bình Dương,Hàng Tiêu dùng,UPCOM
TVH,Công ty Cổ phần Tư vấn Xây dựng công trình Hàng hải,Công nghiệp,UPCOM
CID,Công ty Cổ phần Xây dựng và Phát triển Cơ sở Hạ tầng,Công nghiệp,UPCOM
CNC,Công ty Cổ phần Công nghệ cao Traphaco,Dược phẩm và Y tế,UPCOM
CMC,Công ty Cổ phần Đầu tư CMC,Công nghiệp,HNX
BHK,Công ty Cổ phần Bia Hà Nội - Kim Bài,Hàng Tiêu dùng,UPCOM
CNN,"Công ty Cổ phần Tư vấn Công nghệ, Thiết bị và Kiểm định Xây dựng - CONINCO",Công nghiệp,UPCOM
CBS,Công ty Cổ phần Mía đường Cao Bằng,Hàng Tiêu dùng,UPCOM
GTS,Công ty Cổ phần Công trình Giao thông Sài Gòn,Công nghiệp,UPCOM
CC1,Tổng Công ty Xây dựng số 1 - CTCP,Công nghiệp,UPCOM
BLN,Công ty Cổ phần Vận tải và Dịch vụ Liên Ninh,Dịch vụ Tiêu dùng,UPCOM
CPI,Công ty Cổ phần Đầu tư Cảng Cái Lân,Công nghiệp,UPCOM
ASP,Công ty Cổ phần Tập đoàn Dầu khí An Pha,Tiện ích Cộng đồng,HOSE
CIA,Công ty Cổ Phần Dịch Vụ Sân Bay Quốc Tế Cam Ranh,Công nghiệp,HNX
SGP,Công ty Cổ phần Cảng Sài Gòn,Công nghiệp,UPCOM
CTW,Công ty Cổ phần Cấp thoát nước Cần Thơ,Tiện ích Cộng đồng,UPCOM
CT6,Công ty Cổ phần Công trình 6,Công nghiệp,UPCOM
CTN,Công ty Cổ phần Xây dựng Công trình ngầm,Công nghiệp,UPCOM
CTP,Công ty Cổ phần Hoà Bình Takara,Hàng Tiêu dùng,HNX
CVN,Công ty Cổ phần Vinam,Dược phẩm và Y tế,UPCOM
DAN,Công ty Cổ phần Dược Danapha,Dược phẩm và Y tế,UPCOM
DNE,Công ty Cổ phần Môi trường Đô thị Đà Nẵng,Công nghiệp,UPCOM
DGC,Công ty Cổ phần Tập đoàn Hóa chất Đức Giang,Nguyên vật liệu,HOSE
DBM,Công ty Cổ phần Dược - Vật tư Y tế Đắk Lắk,Dược phẩm và Y tế,UPCOM
DGT,Công ty Cổ phần Công trình Giao thông Đồng Nai,Công nghiệp,UPCOM
DCL,Công ty Cổ phần Dược phẩm Cửu Long,Dược phẩm và Y tế,HOSE
DDV,Công ty Cổ phần DAP - Vinachem,Nguyên vật liệu,UPCOM
HNB,Công ty Cổ phần Bến xe Hà Nội,Công nghiệp,UPCOM
DHG,Công ty Cổ phần Dược Hậu Giang,Dược phẩm và Y tế,HOSE
DHC,Công ty Cổ phần Đông Hải Bến Tre,Nguyên vật liệu,HOSE
DLG,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,Công nghiệp,HOSE
BCM,Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP,Tài chính,HOSE
AIG,Công ty Cổ phần Nguyên liệu Á Châu AIG,Hàng Tiêu dùng,UPCOM
AVG,Công ty Cổ phần Phân Bón Quốc Tế Âu Việt,Nguyên vật liệu,UPCOM
ATA,Công ty Cổ phần NTACO,Hàng Tiêu dùng,UPCOM
ATG,Công ty Cổ phần An Trường An,Nguyên vật liệu,UPCOM
DIC,Công ty Cổ phần Đầu tư và Thương mại DIC,Công nghiệp,UPCOM
CX8,Công ty Cổ phần Đầu tư và Xây lắp Constrexim số 8,Công nghiệp,HNX
DAS,Công ty Cổ phần Máy - Thiết bị Dầu khí Đà Nẵng,Hàng Tiêu dùng,UPCOM
DOP,Công ty Cổ phần Vận tải Xăng dầu Đồng Tháp,Công nghiệp,UPCOM
TT6,Công ty Cổ Phần Tập Đoàn Tiến Thịnh,Hàng Tiêu dùng,UPCOM
DAH,Công ty Cổ phần Tập đoàn Khách sạn Đông Á,Dịch vụ Tiêu dùng,HOSE
DLD,Công ty Cổ phần Du lịch Đắk Lắk,Dịch vụ Tiêu dùng,UPCOM
LPT,Công ty Cổ phần Thương mại và Sản xuất Lập Phương Thành,Công nghiệp,UPCOM
BMC,Công ty Cổ phần Khoáng sản Bình Định,Nguyên vật liệu,HOSE
DNC,Công ty Cổ phần Điện nước Lắp máy Hải Phòng,Tiện ích Cộng đồng,HNX
DWC,Công ty Cổ phần Cấp nước Đắk Lắk,Tiện ích Cộng đồng,UPCOM
AAA,Công ty Cổ phần Nhựa An Phát Xanh,Nguyên vật liệu,HOSE
BMD,Công ty Cổ phần Môi trường và Dịch vụ Đô thị Bình Thuận,Công nghiệp,UPCOM
AAM,Công ty Cổ Phần Thủy Sản MeKong,Hàng Tiêu dùng,HOSE
DTE,Công ty Cổ phần Đầu tư Năng lượng Đại Trường Thành Holdings,Tiện ích Cộng đồng,UPCOM
ATB,Công ty Cổ phần An Thịnh,Công nghiệp,UPCOM
MTV,Công ty Cổ phần Dịch vụ Môi trường và Công trình Đô thị Vũng Tàu,Công nghiệp,UPCOM
CAD,Công ty Cổ phần Chế biến và Xuất khẩu Thủy sản Cadovimex,Hàng Tiêu dùng,UPCOM
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí - Công ty Cổ phần,Nguyên vật liệu,HOSE
TTS,Công ty Cổ phần Cán thép Thái Trung,Nguyên vật liệu,UPCOM
DVG,Công ty Cổ phần Đại Việt Group DVG,Công nghiệp,UPCOM
DTL,Công ty Cổ phần Đại Thiên Lộc,Nguyên vật liệu,HOSE
BSD,"Công ty Cổ phần Bia, Rượu Sài Gòn - Đồng Xuân",Hàng Tiêu dùng,UPCOM
AAT,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,Hàng Tiêu dùng,HOSE
DXS,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,Tài chính,HOSE
MGG,Tổng Công ty Đức Giang - Công ty Cổ phần,Hàng Tiêu dùng,UPCOM
DXV,Công ty Cổ phần VICEM Vật liệu Xây dựng Đà Nẵng,Công nghiệp,HOSE
CPH,Công ty Cổ phần Phục vụ Mai táng Hải Phòng,Dịch vụ Tiêu dùng,UPCOM
EBS,Công ty Cổ phần Sách Giáo dục tại Thành phố Hà Nội,Dịch vụ Tiêu dùng,HNX
BMJ,Công ty Cổ phần Khoáng sản Miền Đông AHP,Nguyên vật liệu,UPCOM
EMS,Tổng Công ty Chuyển phát nhanh Bưu điện - Công ty Cổ phần,Công nghiệp,UPCOM
DRC,Công ty Cổ phần Cao su Đà Nẵng,Hàng Tiêu dùng,HOSE
VDG,Công ty Cổ phần Vạn Đạt Group,Hàng Tiêu dùng,UPCOM
RGG,Công ty Cổ phần Regal Group,Tài chính,UPCOM
TDB,Công ty Cổ phần Thủy điện Định Bình,Tiện ích Cộng đồng,UPCOM
DAG,Công ty Cổ phần Tập đoàn Nhựa Đông Á,Nguyên vật liệu,UPCOM
CII,Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh,Công nghiệp,HOSE
CK8,Công ty Cổ phần Cơ khí 120,Tài chính,UPCOM
BDT,Công ty Cổ phần Xây lắp và Vật liệu xây dựng Đồng Tháp,Công nghiệp,UPCOM
CMI,Công ty Cổ phần CMISTONE Việt Nam,Công nghiệp,UPCOM
E29,Công ty cổ phần Đầu tư Xây dựng và Kỹ thuật 29,Công nghiệp,UPCOM
DVP,Công ty Cổ phần Đầu tư và Phát triển Cảng Đình Vũ,Công nghiệp,HOSE
CMV,Công ty Cổ phần Thương nghiệp Cà Mau,Dịch vụ Tiêu dùng,HOSE
DDM,Công ty Cổ phần Hàng hải Đông Đô,Công nghiệp,UPCOM
CTI,Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDICO,Công nghiệp,HOSE
ELC,Công ty Cổ phần Công nghệ - Viễn thông ELCOM,Công nghệ Thông tin,HOSE
CCR,Công ty Cổ phần Cảng Cam Ranh,Công nghiệp,HNX
CDH,Công ty Cổ phần Công trình Công cộng và Dịch vụ Du lịch Hải Phòng,Công nghiệp,UPCOM
CKG,Công ty Cổ phần Tập đoàn CIC,Tài chính,HOSE
CFV,Công ty Cổ phần Cà phê Thắng Lợi,Hàng Tiêu dùng,UPCOM
EVF,Công ty Tài chính Tổng hợp Cổ phần Điện Lực,Tài chính,HOSE
AAV,Công ty Cổ phần AAV Group,Tài chính,HNX
CTR,Tổng Công ty Cổ phần Công trình Viettel,Công nghiệp,HOSE
LEC,Công ty Cổ phần Bất động sản Điện lực Miền Trung,Tài chính,UPCOM
BMP,Công ty Cổ phần Nhựa Bình Minh,Công nghiệp,HOSE
CTT,Công ty Cổ phần Chế tạo máy - Vinacomin,Công nghiệp,HNX
CAN,Công ty Cổ phần Đồ hộp Hạ Long,Hàng Tiêu dùng,HNX
DMN,Công ty Cổ phần Domenal,Hàng Tiêu dùng,UPCOM
ABB,Ngân hàng Thương mại Cổ phần An Bình,Ngân hàng,UPCOM
BMS,Công ty Cổ phần Chứng khoán Bảo Minh,Tài chính,UPCOM
CCT,Công ty Cổ phần Cảng Cần Thơ,Công nghiệp,UPCOM
MBN,Công ty Cổ phần Môi trường và Công trình đô thị Bắc Ninh,Công nghiệp,UPCOM
BOT,Công ty Cổ phần BOT Cầu Thái Hà,Công nghiệp,UPCOM
BPC,Công ty Cổ phần Vicem Bao bì Bỉm Sơn,Công nghiệp,HNX
CCA,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cần Thơ,Hàng Tiêu dùng,UPCOM
ABI,Công ty Cổ phần Bảo hiểm Ngân hàng Nông Nghiệp,Tài chính,UPCOM
BRC,Công ty Cổ phần Cao su Bến Thành,Nguyên vật liệu,HOSE
HFB,Công ty Cổ phần Công trình Cầu phà Thành phố Hồ Chí Minh,Công nghiệp,UPCOM
CEO,Công ty Cổ phần Tập đoàn C.E.O,Tài chính,HNX
BRS,Công ty Cổ phần Dịch vụ Đô thị Bà Rịa,Công nghiệp,UPCOM
DMS,Công ty Cổ phần Hóa phẩm dầu khí DMC - Miền Nam,Tiện ích Cộng đồng,UPCOM
DPC,Công ty Cổ phần Nhựa Đà Nẵng,Công nghiệp,UPCOM
DNW,Công ty Cổ phần Cấp nước Đồng Nai,Tiện ích Cộng đồng,UPCOM
AMC,Công ty Cổ phần Khoáng sản Á Châu,Nguyên vật liệu,HNX
AVC,Công ty Cổ phần Thủy điện A Vương,Tiện ích Cộng đồng,UPCOM
CFM,Công ty Cổ phần Đầu tư CFM,Công nghiệp,UPCOM
AMD,Công ty Cổ phần Đầu tư và Khoáng sản FLC Stone,Tài chính,UPCOM
KCB,Công ty Cổ phần Khoáng Sản và Luyện Kim Cao Bằng,Nguyên vật liệu,UPCOM
DSN,Công ty Cổ phần Công viên nước Đầm Sen,Dịch vụ Tiêu dùng,HOSE
BSC,Công ty Cổ phần Dịch vụ Bến Thành,Tài chính,HNX
AME,Công ty cổ phần Alphanam E&C,Công nghiệp,HNX
TIN,Công ty Tài chính tổng hợp cổ phần Tín Việt,Tài chính,UPCOM
BAL,Công ty Cổ phần Bao bì Bia - Rượu - Nước giải khát,Công nghiệp,UPCOM
AMV,Công ty Cổ phần Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ,Dược phẩm và Y tế,HNX
FBA,Công ty Cổ phần Tập đoàn Quốc tế FBA,Hàng Tiêu dùng,UPCOM
DTC,Công ty Cổ phần Viglacera Đông Triều,Công nghiệp,UPCOM
FCN,Công ty Cổ phần FECON,Công nghiệp,HOSE
DID,Công ty Cổ phần DIC - Đồng Tiến,Công nghiệp,UPCOM
BHI,Tổng Công ty Cổ phần Bảo hiểm Sài Gòn - Hà Nội,Tài chính,UPCOM
CCL,Công ty Cổ phần Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,Tài chính,HOSE
ACG,Công ty Cổ phần Gỗ An Cường,Nguyên vật liệu,HOSE
BSI,Công ty Cổ phần Chứng khoán BIDV,Tài chính,HOSE
BSR,Công ty Cổ phần Lọc Hóa dầu Bình Sơn,Dầu khí,HOSE
VSM,Công ty Cổ phần Container Miền Trung,Công nghiệp,HNX
CMP,Công ty Cổ phần Cảng Chân Mây,Công nghiệp,UPCOM
FIR,Công ty Cổ phần Địa ốc First Real,Tài chính,HOSE
BCV,Công ty Cổ phần Du lịch và Thương mại Bằng Giang Cao Bằng - Vimico,Dịch vụ Tiêu dùng,UPCOM
ART,Công ty Cổ phần Chứng khoán ARTEX,Tài chính,UPCOM
FSO,Công ty Cổ phần Cơ khí đóng tàu thủy sản Việt Nam,Công nghiệp,UPCOM
DCR,Công ty Cổ phần Gạch men COSEVCO,Công nghiệp,UPCOM
FBC,Công ty Cổ phần Cơ khí Phổ Yên,Công nghiệp,UPCOM
FCS,Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,Hàng Tiêu dùng,UPCOM
BNA,Công ty Cổ phần Tập đoàn Đầu tư Bảo Ngọc,Hàng Tiêu dùng,HNX
BRR,Công ty Cổ phần Cao su Bà Rịa,Nguyên vật liệu,UPCOM
DP3,Công ty Cổ Phần Dược Phẩm Trung Ương 3,Dược phẩm và Y tế,HNX
FCM,Công ty Cổ phần Bê tông Phan Vũ Hà Nam,Công nghiệp,HOSE
DC4,Công ty Cổ phần Dicera Holdings,Công nghiệp,HOSE
FPT,Công ty Cổ phần FPT,Công nghệ Thông tin,HOSE
FRT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Dịch vụ Tiêu dùng,HOSE
NCG,Công ty Cổ phần Tập đoàn Nova Consumer,Hàng Tiêu dùng,UPCOM
TSA,Công ty Cổ Phần Đầu Tư Và Xây Lắp Trường Sơn,Công nghiệp,UPCOM
FT1,Công ty Cổ phần Phụ tùng máy số 1,Công nghiệp,UPCOM
THM,Công ty Cổ phần Tứ Hải Hà Nam,Hàng Tiêu dùng,UPCOM
CMS,Công ty Cổ phần Tập đoàn CMH Việt Nam,Công nghiệp,HNX
DAD,Công ty Cổ phần Đầu tư và Phát triển Giáo dục Đà Nẵng,Dịch vụ Tiêu dùng,HNX
ABW,Công ty Cổ phần Chứng khoán An Bình,Tài chính,UPCOM
GAB,Công ty Cổ phần Đầu tư Khai khoáng & Quản lý Tài sản FLC,Công nghiệp,UPCOM
GAS,Tổng Công ty Khí Việt Nam - Công ty Cổ phần,Tiện ích Cộng đồng,HOSE
CSC,Công ty Cổ phần Tập đoàn COTANA,Công nghiệp,HNX
ANT,Công ty Cổ phần Rau quả Thực phẩm An Giang,Hàng Tiêu dùng,UPCOM
BBS,Công ty Cổ phần VICEM Bao bì Bút Sơn,Công nghiệp,HNX
DCM,Công ty Cổ phần Phân bón Dầu Khí Cà Mau,Nguyên vật liệu,HOSE
DVW,Công ty Cổ phần Dịch vụ và Xây dựng cấp nước Đồng Nai,Công nghiệp,UPCOM
BTH,Công ty Cổ phần Chế tạo Biến thế và Vật liệu Điện Hà Nội,Công nghiệp,UPCOM
DL1,Công ty Cổ phần Tập đoàn Alpha Seven,Công nghiệp,HNX
BTN,Công ty Cổ phần Đầu tư Bitco Bình Định,Công nghiệp,UPCOM
PGV,Tổng Công ty Phát điện 3 - Công ty Cổ phần,Tiện ích Cộng đồng,HOSE
ANV,Công ty Cổ phần Nam Việt,Hàng Tiêu dùng,HOSE
BCB,Công ty Cổ phần 397,Nguyên vật liệu,UPCOM
CCM,Công ty Cổ phần Khoáng sản và Xi măng Cần Thơ,Công nghiệp,UPCOM
GHC,Công ty Cổ phần Thủy điện Gia Lai,Tiện ích Cộng đồng,UPCOM
DCS,Công ty Cổ phần Tập đoàn EDX,Hàng Tiêu dùng,UPCOM
DXG,Công ty Cổ phần Tập đoàn Đất Xanh,Tài chính,HOSE
FGL,Công ty Cổ phần Cà phê Gia Lai,Hàng Tiêu dùng,UPCOM
GIL,Công ty Cổ phần Sản xuất Kinh doanh Xuất nhập khẩu Bình Thạnh,Hàng Tiêu dùng,HOSE
GLC,Công ty Cổ phần Vàng Lào Cai,Nguyên vật liệu,UPCOM
DNM,Tổng Công ty Cổ phần Y tế Danameco,Dược phẩm và Y tế,UPCOM
CNG,Công ty Cổ phần CNG Việt Nam,Tiện ích Cộng đồng,HOSE
